Min Dist,Classification
2.37202144,INF
2.37314868,INF
2.37390208,INF
2.37587023,IND
2.37685442,INF
2.38125253,INF
2.38125658,INF
2.38387728,INF
2.38389802,INF
2.38562655,IND
2.38592219,INF
2.38658381,INF
2.39638948,INF
2.39662361,IND
2.3984623,INF
2.39932919,INF
2.39937234,IND
2.40008998,IND
2.40021944,INF
2.40356922,IND
2.40706086,IND
2.40925384,INF
2.40943861,IND
2.41056538,INF
2.41213799,INF
2.41261482,IND
2.41383314,INF
2.41408277,INF
2.41501355,INF
2.41903067,INF
2.43511438,IND
2.43628955,INF
2.43873,INF
2.43939018,INF
2.4418478,INF
2.4425714,INF
2.44561386,INF
2.44583583,INF
2.44918704,INF
2.44919705,IND
2.45071507,IND
2.45101023,INF
2.45223665,INF
2.45262742,INF
2.45616078,INF
2.4568119,INF
2.45900989,INF
2.45938826,IND
2.45978975,INF
2.46134019,INF
2.46469069,INF
2.46672058,INF
2.47463179,INF
2.47591853,INF
2.47892284,INF
2.47917843,INF
2.48884869,INF
2.49030805,INF
2.49177361,INF
2.49324489,INF
2.49370837,INF
2.49472141,INF
2.49537826,INF
2.50171423,INF
2.50312209,INF
2.50368738,INF
2.50430751,INF
2.50433588,INF
2.50758481,INF
2.50877547,INF
2.51172423,INF
2.51515436,INF
2.52075577,IND
2.52116776,IND
2.52307773,INF
2.5238502,INF
2.52417707,INF
2.52704453,INF
2.52737212,IND
2.52745008,INF
2.52821279,INF
2.53147388,INF
2.53193045,IND
2.53347278,IND
2.53389764,IND
2.53507495,INF
2.5389328,INF
2.54001212,INF
2.54060578,INF
2.54270053,IND
2.54483962,INF
2.54713798,INF
2.5506525,INF
2.55224681,INF
2.55284238,INF
2.55351901,INF
2.55743551,INF
2.55938268,IND
2.56160092,INF
2.5629437,INF
2.56594324,INF
2.56703663,IND
2.56860471,INF
2.57367659,INF
2.57849312,INF
2.5789988,INF
2.58905363,INF
2.58966804,IND
2.59001064,INF
2.59153223,INF
2.59178185,INF
2.59194589,IND
2.59349513,INF
2.59393311,IND
2.59444761,IND
2.59597325,IND
2.59806705,IND
2.60021544,INF
